date,RAD,TMAX,TMIN,RAIN,DEWP,WIND
18158,16.8,33.1,23.5,0.7,105.4,69.2
18159,23.1,37.6,27.4,0,104.5,60.4
18160,23.1,38.3,27.2,0,133.9,55.6
18161,22.4,36.9,27.4,0,171.9,49.7
18162,23.2,37.3,27.4,0,149.5,51.8
18163,21.9,38.2,26.4,0.9,119.2,57.4
18164,22.7,37.7,26,0,127.9,66
18165,9.1,28.7,23.1,32.5,87.3,85.2
18166,21.5,34.9,25.3,0,63.9,77.8
18167,24.3,36.1,26.2,0,114.9,62.3
18168,20.8,34.9,27.3,0,159.8,52.6
18169,14.7,31.5,26.5,0,135.6,58
18170,19.1,34.9,25,0,102,56.3
18171,21.9,35.5,24.7,0,104.5,60.7
18172,13.7,31.8,26.5,0,131.3,63.2
18173,20.2,34.4,26.3,0,152.1,58.5
18174,21.8,36.7,27.3,0,107.1,54.3
18175,15.9,32.9,27.3,0,133.1,61.6
18176,9.8,31.3,22.6,8.9,124.4,80
18177,20.9,35.3,23.8,0,102.8,77
18178,4.8,26.5,20.6,58.8,90.7,92.8
18179,21.9,30.7,22.3,0.1,86.4,88.9
18180,20,32.5,24.1,0,89,80.2
18181,18.9,33.1,26.4,0,97.6,76.1
18182,19.1,31.7,21.4,16.7,113.2,87.3
18183,23.1,32.7,23.6,6.4,98.5,78.2
18184,17.5,28.4,21.4,13.6,117.5,90.6
18185,13,28.2,20.8,8.7,111.5,90.8
18186,20.1,31.2,23.6,1.9,83.8,86
18187,9,28.4,21.7,16.3,93.3,91.4
18188,19.9,31.2,22.2,0.2,76.9,87
18189,23.1,32,23.5,0,87.3,81.6
18190,9.1,26.4,21,9.8,95.9,92.8
18191,23.8,32.9,23.5,6.5,75.2,85.6
18192,22.1,32.4,23.4,0,80.4,87.2
18193,15.4,30.2,25.8,0,91.6,82.4
18194,7,27.3,21.6,17.7,74.3,93.8
18195,21.5,33,24,0.1,78.6,85.8
18196,19.8,31.2,24,0,95,81.9
18197,20.9,33,23.2,13.4,133.9,77.4
18198,18,32.1,23.6,0.1,103.7,87.6
18199,19.2,31.6,24.2,1,82.1,87.4
18200,17,28.5,22.3,28.7,114,91.9
18201,17.8,30.2,22.9,0.4,81.2,88.5
18202,11.9,28.6,21,26.3,68.3,95.6
18203,14.4,30.2,22.6,24.5,116.6,91.2
18204,21.9,31.3,22.9,0.1,93.3,88.8
18205,17,29.5,22.9,0.5,87.3,88.7
18206,15.2,30.9,24.2,0,69.1,89
18207,21.8,32.2,24.9,0,87.3,83
18208,22.4,32.7,23.1,59.9,93.3,81
18209,19.1,30.2,23,13.4,121,91.6
18210,11.5,28.1,23,0.1,91.6,92
18211,22,32.7,23.7,0.1,49.2,87.1
18212,18.3,31,25.4,3.7,70.8,85.6
18213,22.4,31,23.4,0,95,79.8
18214,10.5,26.8,21.6,17.3,85.5,94.5
